product_id,Prefab name,shelf_no,Side,product_name,en_product_name,Category,Volume (kg/l),Price (EUR),height (z),width (x),depth (y),row,position,Calories (kcal),Fat (g),Sugar (g),Protein (g),Carbohydrate (g),Alcohol (%),Lactose (Y/N),Gluten (Y/N),N/Vegan/Vegetarian,Rating (u)
1,Sauce_1,1,D,"DELIKATO Feinschmecker Sauce 300 ml, Hollandaise","DELIKATO Gourmet Sauce 300 ml, Hollandaise",Sauce,0,1.19,0.14,0.1,0.05,5,1,405,43,0.5,0.6,3,0,N,Y,Vegetarian,0.2
2,Sauce_2,1,D,"DELIKATO Feinschmecker Sauce 300 ml, Pfeffer-Sahne","DELIKATO Gourmet Sauce 300 ml, Pepper Cream",Sauce,0,1.09,0.14,0.1,0.05,5,2,102,8.3,0.6,0.6,6,0,N,N,Vegetarian,0.3
3,Soup_3,1,D,"KNORR Fix, Geschnetzeltes ZÃƒÂ¼rcher Art 41 g","KNORR Fix, Sliced Zurich Art 41 g",Soup,0,1.19,0.153,0.127,0.02,1,1,518,5.5,1.1,14,4.1,0,N,N,Vegetarian,0.2
4,Sauce_4,1,D,GUT BIO Bio-Tomaten passiert 500 g,GUT BIO Organic Tomatoes Sieved 500 g,Sauce,0,0.89,0.126,0.08,0.05,4,1,26,0.5,3.7,1.5,3.8,0,Y,Y,Vegan,0.4
5,Pasta_5,1,D,CUCINA NOBILE LasagneblÃƒÂ¤tter 500 g,CUCINA NOBILE Lasagna Sheets 500 g,Pasta,0,1.19,0.18,0.09,0.07,3,1,350,1.3,2.1,12.2,0,0,Y,N,Vegan,0.5
6,Pasta_6,1,D,"GUT BIO Bio-GemÃƒÂ¼sepasta 250 g, GrÃƒÂ¼ne Erbsen Penne","GUT BIO Organic Vegetable Pasta 250 g, Green Peas Penne",Pasta,0,1.55,0.179,0.097,0.06,3,2,360,2.4,3.4,21,61,0,Y,N,Vegan,0.7
7,Rice_7,1,D,BON-RI Kochbeutel-Reis 500 g,BON-RI Cook-in Bag Rice 500 g,Rice,0,0.99,0.13,0.11,0.05,2,1,220,0.7,0.5,0.5,48,0,Y,Y,Vegan,0.1
8,Rice_8,1,D,KÃƒÅ“CHENMEISTER Dinkel-Couscous oder -Reis 500 g,CHEF MASTER Spelt Couscous or Rice 500 g,Rice,0,2.19,0.17,0.13,0.05,2,2,349,9,12,59.5,325,0,Y,N,Vegan,0.2
9,Sauce_9,1,D,KING'S CROWN Tomate Frito 400 g,KING'S CROWN Tomato Frito 400 g,Sauce,0,0.89,0.19,0.1,0.03,4,2,780,52,80,11.6,80,0,Y,Y,Vegan,0.2
10,Soup_10,1,D,"LE GUSTO Suppeneinlage 130 g, Lebernockerln","LE GUSTO Soup Ingredient 130 g, liver dumplings",Soup,0,0.79,0.153,0.127,0.02,1,2,260,15,2,16,22,0,N,N,N,0.3
