product_id,Prefab name,shelf_no,Side,product_name,en_product_name,Category,Volume (kg/l),Price (EUR),height (z),width (x),depth (y),row,position,Calories (kcal),Fat (g),Sugar (g),Protein (g),Carbohydrate (g),Alcohol (%),Lactose (Y/N),Gluten (Y/N),N/Vegan/Vegetarian,Rating (u)
1,C1,1,A,Milk chocolate safe aussen knusprig,Milk chocolate safe aussen knusprig,Pantry,750,3.99,0.26,0.193,0.065,5,1,446,15,25,7.9,68,0,Y,Y,Vegetarian,4.1
2,C2,1,A,Cini Minis,Cini Minis,Pantry,375,4.99,0.275,0.193,0.054,5,2,410,9.3,24.9,5.8,72.6,0,N,Y,Vegetarian,4.3
3,C3,1,A,Cini Minis Churros,Cini Minis Churros,Pantry,360,3.99,0.275,0.193,0.059,5,3,393,5.5,25,7.6,75.6,0,N,Y,Vegan,4.2
4,C4,1,A,Nestle Clusters,Nestle Clusters,Pantry,330,3.99,0.258,0.193,0.046,5,4,386,5.8,28.2,8.4,70.6,0,N,Y,Vegan,4.4
5,C5,1,A,Duplo choco duo,Duplo choco duo,Snacks,182,4.95,0.115,0.085,0.045,4,1,553,32.7,49.5,6.2,56.5,0,Y,N,Vegetarian,4.6
6,C6,1,A,Duplo white,Duplo white,Snacks,182,4.95,0.115,0.085,0.045,4,2,553,35.8,47.3,9.2,52.8,0,Y,N,Vegetarian,4.6
7,C7,1,A,Duplo schmeckt knusperleicht,Duplo schmeckt knusperleicht,Snacks,364,6.79,0.115,0.112,0.06,4,3,551,33,50,6.1,56,0,Y,Y,Vegetarian,4.2
8,C8,1,A,Amicelli Haselnuss,Amicelli Haselnuss,Snacks,200,4.29,0.08,0.14,0.083,4,4,512,26,52,6.1,62,0,Y,Y,Vegetarian,4.5
9,C9,1,A,Veritable Petit encolier,Veritable Petit encolier,Snacks,150,1.49,0.073,0.204,0.038,4,5,498,23,39,6.2,65,0,Y,Y,Vegetarian,4.3
10,C10,1,A,bala de frutas sabor acai com guarana,bala de frutas sabor acai com guarana,Snacks,108,6.75,0.154,0.065,0.06,4,6,330,0.4,80,1.2,83,0,N,N,Vegan,4.4
11,C11,1,A,Butter Spritz geback,Butter Spritz geback,Snacks,400,2.99,0.25,0.075,0.075,3,1,533,30.5,22.6,5.5,58,0,N,Y,Vegetarian,4
12,C12,1,A,Taiwan dessert  matcha flavor,Taiwan dessert  matcha flavor,Snacks,80,1.69,0.085,0.16,0.028,3,2,349,6.1,39.5,1.5,71.9,0,N,N,Vegan,4.3
13,C13,1,A,Schogetten originals edel-zartbitter,Schogetten originals edel-zartbitter,Snacks,100,2.23,0.077,0.156,0.015,3,3,529,31,47,6.8,52,0,N,N,Vegan,4.6
