product_id,Prefab name,shelf_no,Side,product_name,en_product_name,Category,Volume (kg/l),Price (EUR),height (z),width (x),depth (y),row,position,Calories (kcal),Fat (g),Sugar (g),Protein (g),Carbohydrate (g),Alcohol (%),Lactose (Y/N),Gluten (Y/N),N/Vegan/Vegetarian,Rating (u)
11,Baking_11,2,A,"BACK FAMILY Raspelschokolade, Zartbitter 100 g","BACK FAMILY Grated Chocolate, Dark 100 g",Baking,100,1.79,0.136,0.086,0.034,5,1,504,27,48,7.1,53,0,Y,N,Vegan,3.2
12,Baking_12,2,A,"BACK FAMILY Schoko-TrÃƒÆ’Ã‚Â¶pfchen 100 g, Vollmilch","BACK FAMILY Chocolate Drops 100 g, Milk Chocolate",Baking,100,1.29,0.136,0.086,0.034,5,2,508,27,55,8.7,55,0,N,N,N,3.2
13,Baking_13,2,A,"BACK FAMILY Raspelschokolade, Vollmilch 100 g","BACK FAMILY Grated Chocolate, Milk Chocolate 100 g",Baking,100,1.79,0.136,0.086,0.034,5,3,587,30,64,4.6,65,0,N,N,N,3.4
14,Baking_14,2,A,DIADEM Puderzucker 250 g,DIADEM Powdered Sugar 250 g,Baking,250,0.49,0.202,0.134,0.06,1,2,400,0,100,0,100,0,Y,Y,Vegan,3.5
15,Baking_15,2,A,DIADEM WÃƒÆ’Ã‚Â?rfelzucker 1 kg,DIADEM Sugar Cubes 1 kg,Baking,1000,1.69,0.142,0.212,0.045,1,1,400,0,100,0,100,0,Y,Y,Vegan,3.7
16,Baking_16,2,A,BACK FAMILY Backmischung 500 g,BACK FAMILY Baking Mix 500 g,Baking,500,1.99,0.213,0.142,0.05,4,3,423,23,26,6.3,47,0,N,N,N,2.3
17,Baking_17,2,A,BACK FAMILY Backmischung 350,BACK FAMILY Baking Mix 350 g,Baking,350,1.99,0.212,0.142,0.045,4,1,423,23,26,6.3,47,0,N,N,N,2.9
18,Baking_18,2,A,BACK FAMILY Backmischung 300 g,BACK FAMILY Baking Mix 300 g,Baking,300,1.99,0.212,0.142,0.045,4,2,423,23,26,6.3,47,0,N,N,N,2.1
19,Baking_19,2,A,BACK FAMILY Backmischung 420 g,BACK FAMILY Baking Mix 420 g,Baking,420,1.99,0.181,0.122,0.07,3,1,423,23,26,6.3,47,0,N,N,N,2
20,Baking_20,2,A,SCHNEEKOPPE Bio Dinkelmehl 1 kg,SCHNEEKOPPE Organic Spelt Flour 1 kg,Baking,1000,1.45,0.181,0.122,0.07,2,2,343,1.2,0.6,12.5,88,0,Y,N,Vegan,3.5
21,Baking_21,2,A,MEHL VON DAHEIM Weizenmehl 1 kg,MEHL VON DAHEIM Wheat Flour 1 kg,Baking,1000,0.99,0.181,0.122,0.07,2,1,349,1.1,1.1,11,82,0,Y,N,Vegan,2.2
22,Chocolate_22,3,A,MOSER ROTH Flavour Sortiment 125 g,MOSER ROTH Flavor Assortment 125 g,Chocolate,125,1.49,0.18,0.1056,0.017,4,1,540,33,47,6.3,50,0,N,N,N,2.1
23,Chocolate_23,3,A,HARIBO Baiser Eier 230 g,HARIBO Meringue Eggs 230 g,Chocolate,230,0.99,0.19,0.1,0.02,3,1,389,0.5,88,2,95,0,Y,Y,N,1.8
25,Chocolate_25,3,A,CHOCEUR Mini-Tafeln 200 g,CHOCEUR Mini Bars 200 g,Chocolate,200,1.79,0.169,0.077,0.017,4,4,600,35,51,8,52,0,N,N,N,3.5
26,Chocolate_26,3,A,BISCOTTO Schokosticks 90 g,BISCOTTO Chocolate Sticks 90 g,Chocolate,90,1.49,0.195,0.095,0.017,3,3,475,18,31,6.9,70,0,N,N,N,3.2
27,Cookies_27,3,A,FERRERO hanuta Haselnuss-Schnitte 220 g,FERRERO Hanuta Hazelnut Slice 220 g,Cookies,220,2.79,0.205,0.105,0.056,3,4,540,31.9,42.6,7.6,54,0,N,N,N,2.1
