product_id,Prefab name,shelf_no,Side,product_name,en_product_name,Category,Volume (kg/l),Price (EUR),height (z),width (x),depth (y),row,position,Calories (kcal),Fat (g),Sugar (g),Protein (g),Carbohydrate (g),Alcohol (%),Lactose (Y/N),Gluten (Y/N),N/Vegan/Vegetarian,Rating (u)
11,Baking_11,2,A,"BACK FAMILY Raspelschokolade, Zartbitter 100 g","BACK FAMILY Grated Chocolate, Dark 100 g",Crackers,100,2.11,0.136,0.086,0.034,5,1,467,21,1,13,52,0,N,N,N,3.2
12,Baking_12,2,A,"BACK FAMILY Schoko-TrÃƒÆ’Ã‚Â¶pfchen 100 g, Vollmilch","BACK FAMILY Chocolate Drops 100 g, Milk Chocolate",Toast,100,2.29,0.136,0.086,0.034,5,2,350,3.5,0.5,9,82,0,N,N,N,2.6
13,Baking_13,2,A,"BACK FAMILY Raspelschokolade, Vollmilch 100 g","BACK FAMILY Grated Chocolate, Milk Chocolate 100 g",Toast,100,2.79,0.136,0.086,0.034,5,3,120,0.5,0.1,0,20,0,Y,N,N,2.8
14,Baking_14,2,A,DIADEM Puderzucker 250 g,DIADEM Powdered Sugar 250 g,Toast,250,1.99,0.202,0.134,0.06,1,2,610,23,2,7,70,0,N,N,N,3.2
15,Baking_15,2,A,DIADEM WÃƒÆ’Ã‚Â?rfelzucker 1 kg,DIADEM Sugar Cubes 1 kg,Toast,1000,2.19,0.142,0.212,0.045,1,1,450,12,1,8,65,0,N,N,N,4.4
16,Baking_16,2,A,BACK FAMILY Backmischung 500 g,BACK FAMILY Baking Mix 500 g,Toast,500,2.29,0.213,0.142,0.05,4,3,585,17,2,7,70,0,N,N,N,2.5
17,Baking_17,2,A,BACK FAMILY Backmischung 350,BACK FAMILY Baking Mix 350 g,Toast,350,1.99,0.212,0.142,0.045,4,1,500,18,2,8,65,0,N,N,N,3
18,Baking_18,2,A,BACK FAMILY Backmischung 300 g,BACK FAMILY Baking Mix 300 g,Crackers,300,2.49,0.212,0.142,0.045,4,2,600,43,4,15,90,0,N,N,N,3.5
19,Baking_19,2,A,BACK FAMILY Backmischung 420 g,BACK FAMILY Baking Mix 420 g,Crackers,420,2.49,0.181,0.122,0.07,3,1,595,41,4,7,72,0,N,N,N,2.9
20,Baking_20,2,A,SCHNEEKOPPE Bio Dinkelmehl 1 kg,SCHNEEKOPPE Organic Spelt Flour 1 kg,Crackers,1000,2.39,0.181,0.122,0.07,2,2,590,40,1,7,86,0,N,N,N,2.2
