Type,FOV,ID,Question,Answer,Dimension1,Direction1,Value1,Dimension2,Direction2,Value2
Single,Out,QS1,Select the product that has <color=#ff8000>more than</color> 75 g Sugar and <color=#ff8000>less than</color> 85 g Carbohydrates,ChocolateDrink_57,Sugar (g),more,75,Carbohydrate (g),less,85
Single,Out,QS2,Select the product that has <color=#ff8000>highest</color> Calories and <color=#ff8000>highest</color> Fat,Crackers_170,Calories (kcal),highest,600,Fat (g),highest,43
Single,Out,QS3,Select the product that has <color=#ff8000>lowest</color> Carbohydrate and is Lactose Free,Coffee_50,Carbohydrate (g),lowest,0,Lactose (Y/N),,N
Single,Out,QS4,Select the product that has <color=#ff8000>highest</color> Protein and <color=#ff8000>lowest</color> Sugar,Cereals_75,Protein (g),highest,45,Sugar (g),lowest,11
Single,Out,QS5,Select the product that has <color=#ff8000>highest</color> Fat and has Gluten,Snacks_37,Fat (g),highest,30,Gluten (Y/N),,Y
Single,Out,QS6,Select the product that has <color=#ff8000>more than</color> 550 kcal Calories and <color=#ff8000>less than</color> 20 g Fat,Toast_172,Calories (kcal),more,550,Fat (g),less,20
Multiple,Out,QM1,Select all the products that cost <color=#ff8000>more than</color> 6.5 EUR and have <color=#ff8000>less than</color> 200 kcal Calories,Coffee_50;Coffee_51;Coffee_65;Coffee_63;Coffee_58;Cereals_71;Cereals_72;Cereals_75;Cereals_77;Cereals_79,Price (EUR),more,6.5,Calories (kcal),less,200
Multiple,Out,QM2,Select all the products that have <color=#ff8000>more than</color> 550 kcal Calories and cost <color=#ff8000>less than</color> 2 EUR,Baking_13;Chocolate_25;Chocolate_28;Chocolate_32;Chocolate_48;Crackers_168;Crackers_169;Crackers_170;Toast_172;Toast_174,Calories (kcal),more,550,Price (EUR),less,2
Multiple,Out,QM3,Select all the products that <color=#ff8000>cost less</color> than 1.5 EUR and have <color=#ff8000>less than</color> 255 kcal Calories,Tea_61;Tea_64;Tea_69;Tea_67;Tea_70;Bread_87;Bread_96;Cereals_74;Bread_97;Cereals_81,Price (EUR),less,1.5,Calories (kcal),less,255
Multiple,Out,QM4,Select all the products that have <color=#ff8000>less than </color>25 g Protein and have <color=#ff8000>more than</color> 36 g Fat,Chocolate_28;Chocolate_32;Snacks_46;Snacks_47;Chocolate_48;Crackers_166;Crackers_167;Crackers_168;Crackers_169;Crackers_170,Protein (g),less,25,Fat (g),more,36
Multiple,Out,QM5,Select all the products that have <color=#ff8000>less than</color> 10 g Sugar and have <color=#ff8000>more than</color> 78 g Carbohydrate,Snacks_40;Baking_21;Baking_36;Baking_20;Snacks_42;Crackers_166;Crackers_168;Toast_176;Crackers_167;Crackers_170,Sugar (g),less,10,Carbohydrate (g),more,78
Multiple,Out,QM6,Select all the products that have <color=#ff8000>more than</color> 36 g Fat and have <color=#ff8000>less than</color> 50 g Sugar,Chocolate_28;Chocolate_32;Snacks_46;Snacks_47;Chocolate_48;Crackers_166;Crackers_167;Crackers_168;Crackers_169;Crackers_170,Fat (g),more,36,Sugar (g),less,50
Hypothesis,Out,QH1,Products that have <color=#ff8000>more than</color> 4 u Rating and Gluten Free are only distribuited on the <u>bottom-left side of the shelves</u>,Yes,Rating (u),more,4,Gluten (Y/N),,N
Hypothesis,Out,QH2,Products that have <color=#ff8000>more than</color> 5 g Protein and Vegan are only distributed on the <u>bottom side of the center and right shelves</u>,No,Protein (g),more,5,N/Vegan/Vegetarian,,Vegan
Hypothesis,Out,QH3,Products that are Vegetarian and have <color=#ff8000>more than</color> 28 g Carbohydrates are distributed on the <u>topest sides of the middle shelves</u>,Yes,N/Vegan/Vegetarian,,Vegetarian,Carbohydrate (g),more,28
Hypothesis,Out,QH4,Products that have <color=#ff8000>less than</color> 3.3 g Fat and Free Lactose are distributed in the <u>top side of the left shelves</u>,No,Fat (g),less,3.3,Lactose (Y/N),,N
Hypothesis,Out,QH5,Products that have Lactose and <color=#ff8000>less than</color> 2 u Rating are distributed in the <u>central side of the middle shelves</u>,Yes,Lactose (Y/N),,Y,Rating (u),less,2
Hypothesis,Out,QH6,Products that have <color=#ff8000>more than</color> 4 u Rating and have Gluten are distributed on the <u>central side of the right shelves</u>,No,Rating (u),more,4,Gluten (Y/N),,Y
